Date,Open,High,Low,Close,Volume,Adj Close
2012-01-17,341.07,356.00,337.50,340.66,1284100,339.05
2012-01-09,344.87,351.28,337.32,339.08,1237900,337.48
2012-01-03,378.37,378.64,341.78,342.92,1829800,341.30
2011-12-27,378.79,381.32,371.39,372.82,494700,370.90
2011-12-19,362.70,378.15,358.00,378.15,920900,376.21
2011-12-12,373.98,375.31,358.29,362.16,789800,360.30
2011-12-05,382.99,383.35,366.36,377.42,895100,375.48
2011-11-28,355.92,384.99,354.80,378.38,1046500,376.44
2011-11-21,355.01,358.35,345.00,346.20,876800,344.42
2011-11-14,366.27,373.55,356.00,360.42,951800,358.57
2011-11-07,361.97,370.37,355.37,370.15,952800,368.25
2011-10-31,351.15,368.99,333.36,360.09,1592600,358.24
2011-10-24,332.80,355.00,324.58,354.58,1082100,352.76
2011-10-17,340.84,342.16,322.49,333.40,1102800,331.69
2011-10-10,315.53,344.92,315.53,341.58,1132000,339.82
2011-10-03,314.50,324.00,293.01,311.46,1662800,309.86
2011-09-26,339.84,343.96,312.48,317.16,1317000,315.38
2011-09-19,341.55,361.94,323.23,337.03,1774100,335.13
2011-09-12,319.95,352.00,314.70,346.95,2365500,345.00
2011-09-06,313.08,345.13,311.52,322.02,1559800,320.21
2011-08-29,329.47,335.75,320.05,320.68,1118900,318.88
2011-08-22,307.94,329.81,301.40,325.33,1030100,323.50
2011-08-15,331.02,338.50,300.00,300.16,1623800,298.47
2011-08-08,314.87,332.72,291.67,328.07,2475500,326.22
2011-08-01,308.24,340.42,298.49,326.54,2377700,324.70
2011-07-25,310.27,318.71,299.60,303.25,869000,301.54
2011-07-18,306.64,315.71,303.95,314.14,870300,312.37
2011-07-11,313.19,313.35,303.73,307.55,1130800,305.82
2011-07-05,312.42,322.28,312.00,315.29,1335800,313.52
2011-06-27,273.08,315.64,270.40,314.47,2497400,312.55
2011-06-20,265.99,276.30,265.37,274.20,735700,272.53
2011-06-13,267.02,275.68,264.87,266.09,1005000,264.47
2011-06-06,276.76,277.73,258.34,267.03,1382400,265.40
2011-05-31,286.78,288.57,275.51,277.06,846700,275.37
2011-05-23,274.50,286.32,268.00,285.24,1057900,283.50
2011-05-16,278.21,284.77,276.51,277.57,810400,275.88
2011-05-09,274.52,282.75,273.11,280.00,603500,278.29
2011-05-02,276.97,286.80,273.07,274.25,1021600,272.58
2011-04-25,273.28,278.10,270.69,275.89,595800,274.21
2011-04-18,266.49,273.75,263.48,273.28,680700,271.61
2011-04-11,262.88,269.96,260.55,267.58,972000,265.95
2011-04-04,254.91,267.00,254.86,263.06,981700,261.46
2011-03-28,250.76,262.38,247.83,253.55,1123900,251.86
2011-03-21,243.33,253.30,243.33,247.70,838600,246.05
2011-03-14,247.20,249.59,241.40,241.68,851200,240.07
